text_response,anxiety_label,anxiety_code,heart_rate,sleep_hours,study_hours_per_day,days_since_last_break,social_interactions_per_week,water_intake_liters,exercise_minutes_per_day
I am calm and focused during my study sessions,Low,0,73.7,6.6,5.3,0,10,2.4,49
I get nervous but can still function and study normally,Moderate,1,86.9,6.1,7.0,2,6,1.7,23
My heart races and I feel nauseous when exam date approaches,High,2,93.5,3.7,9.4,10,0,1.0,1
No major worries just some normal exam jitters,Low,0,71.9,7.8,5.2,1,5,2.9,48
I worry a bit about failing but I keep studying,Moderate,1,83.1,7.0,6.9,2,3,1.9,10
I feel overwhelmed when I look at the entire syllabus,Moderate,1,71.8,5.7,7.2,5,4,1.9,20
I feel like everything depends on this exam and I might fail,High,2,87.6,4.6,7.5,13,1,1.0,10
I sometimes procrastinate due to exam pressure and worry,Moderate,1,88.2,5.5,5.8,3,5,1.5,12
I have been having severe headaches and chest tightness from stress,High,2,94.3,5.2,11.5,11,1,1.6,2
I have been feeling restless lately because of exams,Moderate,1,87.6,6.2,7.5,5,5,3.0,22
I am constantly trembling and cannot eat or sleep properly,High,2,102.0,4.7,7.6,6,1,1.3,9
I feel moderate pressure from family expectations about results,Moderate,1,81.0,6.4,6.5,2,6,1.8,9
I am somewhat nervous and find it hard to concentrate sometimes,Moderate,1,77.5,5.3,7.2,2,3,1.8,5
I cannot stop worrying about failing the exam at all,High,2,92.3,5.1,6.9,12,1,1.5,3
I feel moderate pressure from family expectations about results,Moderate,1,87.1,6.8,5.2,2,4,1.9,19
I am somewhat nervous and find it hard to concentrate sometimes,Moderate,1,78.7,6.5,6.8,3,6,1.8,9
I enjoy studying and feel ready for assessments,Low,0,75.6,7.5,5.7,0,10,2.5,54
I feel like everything depends on this exam and I might fail,High,2,93.0,3.9,9.5,5,0,1.7,4
I feel good about my chances in the exam,Low,0,71.8,7.6,4.8,2,5,2.6,29
I feel stressed but try to manage it with breaks,Moderate,1,83.7,5.0,7.9,5,2,1.6,9
I feel good about my chances in the exam,Low,0,69.7,7.8,4.5,2,9,2.4,25
I am confident in my preparation and feel steady,Low,0,69.3,7.6,3.8,2,10,2.6,54
I feel quite relaxed about my upcoming exams,Low,0,68.8,6.9,5.0,0,7,2.3,23
I cannot stop worrying about failing the exam at all,High,2,98.5,3.8,9.4,13,2,1.6,5
I sometimes procrastinate due to exam pressure and worry,Moderate,1,72.2,4.9,7.3,5,5,2.0,21
I feel moderate pressure from family expectations about results,Moderate,1,66.5,5.7,6.5,3,3,2.2,14
My preparation is going smoothly without much stress,Low,0,73.0,6.7,6.5,2,6,3.0,50
I have not been able to sleep for days because of exam fear,High,2,103.5,4.7,11.9,9,2,1.5,4
I am confident in my preparation and feel steady,Low,0,73.3,7.5,3.1,1,6,2.5,51
I have not been able to sleep for days because of exam fear,High,2,104.8,4.8,6.7,12,1,1.0,4
I have been studying consistently and feel confident,Low,0,74.0,7.2,4.5,1,5,2.7,33
I feel extremely stressed and cannot focus on anything,High,2,91.0,4.3,11.1,14,0,0.5,4
I worry a bit about failing but I keep studying,Moderate,1,80.1,5.6,7.5,2,2,1.7,13
My appetite has slightly reduced during exam preparation,Moderate,1,86.3,5.8,6.9,2,4,1.9,14
I feel overwhelmed when I look at the entire syllabus,Moderate,1,92.7,6.6,6.7,5,5,1.5,15
I feel tense when thinking about results but manage to study,Moderate,1,85.8,7.1,6.1,4,5,2.3,20
I sometimes procrastinate due to exam pressure and worry,Moderate,1,84.0,6.0,7.2,5,2,1.9,15
I feel completely hopeless and unprepared for the exams,High,2,104.8,3.2,4.5,13,1,1.4,0
I enjoy studying and feel ready for assessments,Low,0,74.2,8.0,2.6,0,6,2.2,50
No major worries just some normal exam jitters,Low,0,80.6,7.7,5.0,2,9,2.5,38
I feel good about my chances in the exam,Low,0,77.1,8.7,6.4,1,6,2.7,48
Exams do not bother me much this time,Low,0,64.9,7.3,4.7,0,7,2.3,45
I sleep well and feel mentally prepared,Low,0,76.7,6.8,2.4,0,6,2.8,54
I get anxious during revision but calm down after some time,Moderate,1,86.0,6.0,7.0,4,6,1.6,16
I feel quite relaxed about my upcoming exams,Low,0,67.8,6.7,4.6,0,9,2.8,25
I feel good about my chances in the exam,Low,0,66.5,7.3,6.2,1,8,2.5,36
I feel quite relaxed about my upcoming exams,Low,0,75.2,8.2,4.0,1,6,2.7,60
I worry a bit about failing but I keep studying,Moderate,1,96.7,5.6,5.5,3,4,1.2,15
Exams do not bother me much this time,Low,0,83.6,6.6,5.7,0,5,2.0,41
I get nervous but can still function and study normally,Moderate,1,80.3,7.0,7.3,3,2,1.9,9
I enjoy studying and feel ready for assessments,Low,0,68.8,8.1,6.4,0,9,2.3,32
I feel a little nervous but it motivates me positively,Low,0,71.4,7.0,3.4,0,8,2.6,34
I feel completely hopeless and unprepared for the exams,High,2,94.9,4.8,10.5,6,2,1.5,5
I cry frequently because of the unbearable exam pressure,High,2,87.0,5.2,8.8,12,2,1.0,5
I feel extremely stressed and cannot focus on anything,High,2,96.9,4.8,9.5,12,1,1.6,10
I feel quite relaxed about my upcoming exams,Low,0,73.4,7.2,4.8,2,9,2.4,20
My heart races and I feel nauseous when exam date approaches,High,2,97.4,5.5,9.9,7,0,1.1,3
I worry a bit about failing but I keep studying,Moderate,1,73.1,5.3,6.9,3,2,1.8,10
I am somewhat nervous and find it hard to concentrate sometimes,Moderate,1,79.8,6.3,5.9,5,2,2.0,5
My appetite has slightly reduced during exam preparation,Moderate,1,71.8,6.7,6.3,4,3,2.0,23
The thought of the exam fills me with dread and terror,High,2,89.9,5.3,8.1,8,2,1.5,3
I feel extremely stressed and cannot focus on anything,High,2,98.2,4.1,7.7,11,0,1.0,10
I feel tense when thinking about results but manage to study,Moderate,1,81.1,6.0,5.7,4,3,2.0,25
I worry a bit about failing but I keep studying,Moderate,1,92.7,6.1,6.1,2,3,1.4,19
I feel moderate pressure from family expectations about results,Moderate,1,77.0,5.5,7.5,2,4,1.9,23
I feel completely hopeless and unprepared for the exams,High,2,99.7,4.7,7.5,6,0,1.3,5
No major worries just some normal exam jitters,Low,0,68.7,8.0,4.8,1,9,2.3,38
I feel completely hopeless and unprepared for the exams,High,2,105.7,5.3,10.3,14,1,1.1,9
No major worries just some normal exam jitters,Low,0,72.8,6.8,4.9,2,6,2.2,51
My heart races and I feel nauseous when exam date approaches,High,2,109.3,5.7,10.1,12,2,1.7,2
The thought of the exam fills me with dread and terror,High,2,83.1,4.3,8.6,7,1,1.4,5
I get nervous but can still function and study normally,Moderate,1,83.2,5.3,7.7,4,5,1.6,15
I experience panic attacks when I think about exams,High,2,88.3,5.8,8.6,11,0,1.7,4
I feel tense when thinking about results but manage to study,Moderate,1,78.7,5.8,8.2,5,5,1.9,5
The thought of the exam fills me with dread and terror,High,2,89.4,3.9,12.1,7,0,1.2,0
I enjoy studying and feel ready for assessments,Low,0,68.0,7.4,5.5,0,7,2.8,51
I feel tense when thinking about results but manage to study,Moderate,1,80.7,6.3,7.1,2,2,1.2,7
I manage my time well and feel in control,Low,0,72.5,7.1,5.0,0,5,2.6,49
The thought of the exam fills me with dread and terror,High,2,99.6,5.4,9.7,7,0,1.6,6
I feel tense when thinking about results but manage to study,Moderate,1,78.3,5.0,7.3,3,3,2.0,6
I have been studying consistently and feel confident,Low,0,77.0,7.1,3.6,0,6,3.0,54
I have been having severe headaches and chest tightness from stress,High,2,86.4,2.6,10.3,9,0,1.0,0
I am confident in my preparation and feel steady,Low,0,77.5,8.1,5.6,0,7,2.2,55
I feel moderate pressure from family expectations about results,Moderate,1,85.4,6.0,6.1,5,3,1.9,9
I cry frequently because of the unbearable exam pressure,High,2,86.7,3.4,6.7,5,0,1.4,2
I feel good about my chances in the exam,Low,0,70.8,8.3,5.5,1,9,2.7,42
I feel tense when thinking about results but manage to study,Moderate,1,84.7,5.8,7.6,4,2,1.7,17
I feel overwhelmed when I look at the entire syllabus,Moderate,1,86.0,5.0,7.4,2,6,1.2,23
I feel tense when thinking about results but manage to study,Moderate,1,75.9,7.1,6.1,5,4,2.0,16
I worry a bit about failing but I keep studying,Moderate,1,75.8,6.1,8.7,2,4,2.5,7
I feel completely hopeless and unprepared for the exams,High,2,77.0,6.1,9.4,9,2,1.0,10
I feel a little nervous but it motivates me positively,Low,0,69.3,7.1,5.2,1,6,2.2,49
I am constantly trembling and cannot eat or sleep properly,High,2,91.2,6.2,8.2,14,2,1.2,4
I feel tense when thinking about results but manage to study,Moderate,1,85.2,7.3,6.8,2,6,1.7,21
I enjoy studying and feel ready for assessments,Low,0,73.9,7.5,2.9,0,7,2.5,57
No major worries just some normal exam jitters,Low,0,75.6,7.3,6.7,1,5,2.4,31
Exams do not bother me much this time,Low,0,73.7,7.7,5.6,0,9,2.6,46
I sometimes procrastinate due to exam pressure and worry,Moderate,1,92.4,5.8,6.8,5,3,1.7,22
I feel moderate pressure from family expectations about results,Moderate,1,83.5,4.4,6.8,5,3,1.5,21
I feel moderate pressure from family expectations about results,Moderate,1,84.0,6.4,8.1,2,4,2.2,15
I am somewhat nervous and find it hard to concentrate sometimes,Moderate,1,84.8,5.7,7.3,4,5,1.7,9
I get anxious during revision but calm down after some time,Moderate,1,84.1,7.9,7.3,4,5,1.5,6
No major worries just some normal exam jitters,Low,0,71.1,7.9,5.7,1,5,2.0,25
I feel stressed but try to manage it with breaks,Moderate,1,78.3,5.6,6.8,5,2,1.7,12
I get nervous but can still function and study normally,Moderate,1,79.4,6.1,8.2,3,6,1.7,22
I am confident in my preparation and feel steady,Low,0,69.3,7.7,3.5,1,5,2.6,49
I feel moderate pressure from family expectations about results,Moderate,1,84.6,5.6,6.0,4,3,1.2,13
I feel overwhelmed when I look at the entire syllabus,Moderate,1,77.3,6.3,8.5,2,4,1.9,11
I get anxious during revision but calm down after some time,Moderate,1,88.7,6.2,6.4,4,5,1.9,9
I manage my time well and feel in control,Low,0,74.0,6.6,6.0,1,8,2.6,37
I am confident in my preparation and feel steady,Low,0,73.9,7.2,5.1,1,9,2.5,28
My heart races and I feel nauseous when exam date approaches,High,2,102.5,4.6,8.7,11,2,1.6,1
I sometimes procrastinate due to exam pressure and worry,Moderate,1,82.7,7.2,8.2,5,5,1.8,10
I feel overwhelmed when I look at the entire syllabus,Moderate,1,83.0,6.5,5.9,2,5,1.7,21
No major worries just some normal exam jitters,Low,0,72.5,7.8,4.2,2,9,3.1,23
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,84.2,7.1,6.3,3,6,2.3,5
My mind goes completely blank whenever I try to study,High,2,103.8,2.8,10.7,5,2,1.6,10
My appetite has slightly reduced during exam preparation,Moderate,1,87.3,4.6,8.2,5,4,1.7,19
I am calm and focused during my study sessions,Low,0,71.8,6.9,6.1,0,6,2.7,55
I get nervous but can still function and study normally,Moderate,1,92.5,5.3,6.2,4,5,1.4,22
I enjoy studying and feel ready for assessments,Low,0,69.1,7.2,5.0,0,6,2.3,29
My preparation is going smoothly without much stress,Low,0,70.8,7.2,4.0,2,9,2.4,50
Exams do not bother me much this time,Low,0,76.8,8.6,4.4,2,10,2.1,38
I feel tense when thinking about results but manage to study,Moderate,1,84.9,6.9,5.1,3,4,1.8,24
I feel quite relaxed about my upcoming exams,Low,0,75.7,7.6,6.3,2,9,3.0,40
I manage my time well and feel in control,Low,0,68.9,7.3,4.6,2,6,2.6,25
My preparation is going smoothly without much stress,Low,0,70.5,8.2,4.8,1,6,2.5,49
The thought of the exam fills me with dread and terror,High,2,94.7,4.7,7.5,9,1,0.9,2
I enjoy studying and feel ready for assessments,Low,0,76.8,7.2,4.1,2,7,2.6,59
I feel stressed but try to manage it with breaks,Moderate,1,76.5,5.7,5.9,5,3,1.7,10
I am constantly trembling and cannot eat or sleep properly,High,2,83.8,2.4,9.6,11,2,1.2,3
I cannot stop worrying about failing the exam at all,High,2,102.3,4.2,9.6,5,0,1.4,3
I feel stressed but try to manage it with breaks,Moderate,1,90.2,5.7,6.6,2,3,2.1,18
I feel like everything depends on this exam and I might fail,High,2,81.4,3.5,5.9,9,1,1.2,4
I feel overwhelmed when I look at the entire syllabus,Moderate,1,82.6,5.5,7.7,2,4,2.2,7
My heart races and I feel nauseous when exam date approaches,High,2,88.4,4.0,7.8,14,1,1.4,9
I worry a bit about failing but I keep studying,Moderate,1,79.9,6.0,4.5,4,4,1.6,12
I feel overwhelmed when I look at the entire syllabus,Moderate,1,80.2,5.9,6.9,3,4,1.7,25
I feel a little nervous but it motivates me positively,Low,0,67.4,7.5,1.8,1,10,2.2,23
I have been feeling restless lately because of exams,Moderate,1,75.1,6.5,6.0,3,3,1.6,25
I sometimes procrastinate due to exam pressure and worry,Moderate,1,74.8,7.4,7.9,3,5,1.8,15
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,80.0,5.9,7.3,3,2,1.7,6
The thought of the exam fills me with dread and terror,High,2,102.0,4.7,9.7,5,1,1.0,2
I have been having severe headaches and chest tightness from stress,High,2,98.6,4.1,10.3,5,2,0.8,7
I have been studying consistently and feel confident,Low,0,65.0,8.4,3.8,1,7,2.3,41
I feel good about my chances in the exam,Low,0,68.7,7.3,4.7,0,7,2.6,29
My heart races and I feel nauseous when exam date approaches,High,2,104.3,3.4,7.5,6,0,1.1,7
I feel like everything depends on this exam and I might fail,High,2,95.1,4.7,10.9,7,0,0.9,5
I am calm and focused during my study sessions,Low,0,73.2,6.7,5.3,1,7,2.8,47
I feel tense when thinking about results but manage to study,Moderate,1,81.6,5.3,4.4,4,3,1.7,8
I am confident in my preparation and feel steady,Low,0,75.4,8.4,5.6,2,7,2.4,42
I am confident in my preparation and feel steady,Low,0,67.6,7.1,4.8,0,7,2.6,47
I am calm and focused during my study sessions,Low,0,65.6,7.9,5.7,1,5,2.5,24
I cry frequently because of the unbearable exam pressure,High,2,104.1,3.5,9.3,11,0,1.5,7
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,89.6,7.4,5.8,5,2,1.9,16
I am somewhat nervous and find it hard to concentrate sometimes,Moderate,1,79.4,5.6,6.5,3,6,2.1,19
I manage my time well and feel in control,Low,0,66.1,7.7,5.6,2,10,2.6,51
I feel like everything depends on this exam and I might fail,High,2,85.1,4.7,9.8,6,1,1.4,0
My mind goes completely blank whenever I try to study,High,2,97.8,4.2,9.9,11,2,1.4,1
I feel stressed but try to manage it with breaks,Moderate,1,81.9,6.2,6.9,4,3,2.2,13
I have not been able to sleep for days because of exam fear,High,2,105.5,3.5,10.1,11,2,1.4,5
I am constantly trembling and cannot eat or sleep properly,High,2,103.0,3.7,8.9,14,0,1.1,9
I am calm and focused during my study sessions,Low,0,81.0,7.8,4.4,0,6,2.7,38
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,80.9,6.1,6.0,5,2,1.7,9
I feel tense when thinking about results but manage to study,Moderate,1,80.8,5.1,6.6,2,5,1.9,23
I have been studying consistently and feel confident,Low,0,82.7,6.5,4.8,1,9,2.7,26
I enjoy studying and feel ready for assessments,Low,0,76.4,7.6,7.2,0,9,2.3,36
I feel tense when thinking about results but manage to study,Moderate,1,81.9,5.7,6.8,2,5,2.2,19
I have been studying consistently and feel confident,Low,0,66.7,7.7,4.1,0,5,3.0,29
I experience panic attacks when I think about exams,High,2,101.6,3.6,8.8,14,0,1.0,8
I feel overwhelmed when I look at the entire syllabus,Moderate,1,84.4,6.3,7.7,4,5,1.9,16
I feel moderate pressure from family expectations about results,Moderate,1,82.0,6.5,7.2,3,2,1.6,19
I get nervous but can still function and study normally,Moderate,1,74.6,5.9,5.5,5,5,2.0,23
I enjoy studying and feel ready for assessments,Low,0,65.9,6.8,5.2,1,8,2.8,25
I am confident in my preparation and feel steady,Low,0,73.3,7.9,5.1,2,10,2.8,37
I feel moderate pressure from family expectations about results,Moderate,1,79.4,7.0,8.7,2,2,2.1,17
I am constantly trembling and cannot eat or sleep properly,High,2,106.2,4.8,7.2,10,2,0.9,0
I feel stressed but try to manage it with breaks,Moderate,1,87.2,6.3,7.5,3,6,1.6,21
Exams do not bother me much this time,Low,0,71.3,6.9,4.8,2,6,2.2,34
I experience panic attacks when I think about exams,High,2,94.6,5.1,9.7,13,0,1.0,7
I feel a little nervous but it motivates me positively,Low,0,74.7,7.4,4.8,2,10,2.8,55
I sleep well and feel mentally prepared,Low,0,67.9,7.3,5.4,0,9,2.3,24
I sometimes procrastinate due to exam pressure and worry,Moderate,1,83.1,6.2,5.7,3,4,1.6,21
No major worries just some normal exam jitters,Low,0,75.1,7.8,5.0,1,9,2.2,53
I get anxious during revision but calm down after some time,Moderate,1,82.4,6.0,7.7,2,6,1.9,9
I cannot stop worrying about failing the exam at all,High,2,99.3,4.3,11.1,11,2,1.5,4
I get anxious during revision but calm down after some time,Moderate,1,79.5,6.2,7.5,5,4,1.9,20
I cry frequently because of the unbearable exam pressure,High,2,100.2,4.9,9.0,11,0,1.3,1
I feel extremely stressed and cannot focus on anything,High,2,92.6,3.4,7.5,5,0,1.4,5
I worry a bit about failing but I keep studying,Moderate,1,84.9,5.2,7.1,4,6,0.9,24
I feel stressed but try to manage it with breaks,Moderate,1,77.4,6.2,8.0,2,3,2.0,25
I feel stressed but try to manage it with breaks,Moderate,1,80.4,6.0,9.1,3,3,1.7,24
I feel completely hopeless and unprepared for the exams,High,2,87.0,5.4,9.2,5,1,1.1,0
I cannot stop worrying about failing the exam at all,High,2,96.2,3.3,9.2,10,1,1.9,4
I feel quite relaxed about my upcoming exams,Low,0,66.8,7.8,6.2,0,7,2.7,51
No major worries just some normal exam jitters,Low,0,74.8,8.0,5.8,2,10,2.6,35
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,91.4,5.8,7.3,3,3,1.9,7
I feel moderate pressure from family expectations about results,Moderate,1,87.1,5.0,8.2,3,6,1.9,21
No major worries just some normal exam jitters,Low,0,79.3,7.4,5.1,0,9,2.1,32
My preparation is going smoothly without much stress,Low,0,70.1,7.4,4.4,0,10,2.2,39
I sometimes procrastinate due to exam pressure and worry,Moderate,1,76.5,5.5,6.6,5,4,1.4,17
I get anxious during revision but calm down after some time,Moderate,1,84.8,5.5,6.6,4,2,2.1,10
I am constantly trembling and cannot eat or sleep properly,High,2,98.2,4.7,6.5,14,2,0.9,7
I feel like everything depends on this exam and I might fail,High,2,92.1,3.7,8.7,7,0,1.3,3
I experience panic attacks when I think about exams,High,2,98.2,4.5,6.6,9,1,1.6,2
My preparation is going smoothly without much stress,Low,0,79.8,7.6,6.2,1,5,2.5,25
I feel tense when thinking about results but manage to study,Moderate,1,81.7,7.0,5.4,4,2,1.6,22
I get anxious during revision but calm down after some time,Moderate,1,89.3,6.8,6.8,3,5,1.8,22
No major worries just some normal exam jitters,Low,0,80.8,7.7,3.7,1,6,2.8,50
I feel quite relaxed about my upcoming exams,Low,0,80.2,6.9,5.3,2,8,2.3,25
I feel completely hopeless and unprepared for the exams,High,2,76.9,5.2,9.0,11,2,1.6,7
I sleep well and feel mentally prepared,Low,0,65.7,8.2,4.9,2,7,2.8,25
I am calm and focused during my study sessions,Low,0,77.3,8.1,6.4,0,5,2.7,32
I feel good about my chances in the exam,Low,0,73.7,7.3,5.6,0,7,3.2,52
I experience panic attacks when I think about exams,High,2,106.4,4.9,10.3,10,2,1.4,0
My preparation is going smoothly without much stress,Low,0,69.2,7.6,6.5,1,7,3.1,52
I feel a little nervous but it motivates me positively,Low,0,64.4,8.2,6.6,2,10,2.4,35
I cry frequently because of the unbearable exam pressure,High,2,103.2,4.9,10.8,14,0,0.8,5
I am confident in my preparation and feel steady,Low,0,79.0,8.0,5.1,1,10,2.3,49
I have been having severe headaches and chest tightness from stress,High,2,98.9,5.5,8.0,6,1,1.0,10
I manage my time well and feel in control,Low,0,73.0,6.5,3.7,1,6,2.6,33
I worry a bit about failing but I keep studying,Moderate,1,81.1,5.4,8.1,4,2,1.8,21
I feel extremely stressed and cannot focus on anything,High,2,100.0,4.1,9.8,7,0,1.8,9
I manage my time well and feel in control,Low,0,76.6,7.1,6.5,2,7,2.4,43
I feel completely hopeless and unprepared for the exams,High,2,92.4,3.9,9.0,12,1,1.1,8
I have been feeling restless lately because of exams,Moderate,1,82.2,4.7,6.5,4,3,1.8,21
I cry frequently because of the unbearable exam pressure,High,2,94.5,5.5,10.5,6,2,1.5,9
I enjoy studying and feel ready for assessments,Low,0,73.2,7.9,3.5,1,10,2.8,30
I get anxious during revision but calm down after some time,Moderate,1,71.6,6.1,7.0,3,2,1.6,23
My heart races and I feel nauseous when exam date approaches,High,2,96.8,4.1,6.3,6,0,0.5,5
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,80.7,5.8,8.3,2,3,2.0,9
I am confident in my preparation and feel steady,Low,0,61.6,8.3,5.2,0,8,2.5,28
I feel like everything depends on this exam and I might fail,High,2,99.1,5.2,8.0,5,0,0.3,2
I have been having severe headaches and chest tightness from stress,High,2,97.9,3.6,7.5,14,2,0.9,8
I worry a bit about failing but I keep studying,Moderate,1,73.9,5.8,7.9,3,2,2.0,17
I cannot stop worrying about failing the exam at all,High,2,95.8,5.5,7.4,8,1,0.2,5
I feel a little nervous but it motivates me positively,Low,0,69.0,7.4,4.4,0,8,3.1,57
I get nervous but can still function and study normally,Moderate,1,83.5,5.4,6.2,5,3,2.0,11
I feel extremely stressed and cannot focus on anything,High,2,99.2,4.6,8.9,11,2,0.8,4
I am confident in my preparation and feel steady,Low,0,70.9,7.4,5.3,1,6,2.7,48
Exams do not bother me much this time,Low,0,66.7,7.3,4.4,2,7,2.4,34
My appetite has slightly reduced during exam preparation,Moderate,1,85.9,6.3,7.4,3,5,1.2,22
I have been having severe headaches and chest tightness from stress,High,2,95.6,3.7,10.7,10,2,1.9,9
I am confident in my preparation and feel steady,Low,0,74.0,7.8,4.5,1,7,3.0,52
I have been having severe headaches and chest tightness from stress,High,2,97.9,3.9,5.7,13,1,1.6,6
My mind goes completely blank whenever I try to study,High,2,108.7,5.0,11.1,13,0,0.8,5
I feel extremely stressed and cannot focus on anything,High,2,89.1,4.6,10.7,12,1,1.1,5
I experience panic attacks when I think about exams,High,2,88.1,4.3,10.8,9,2,1.5,1
I have been feeling restless lately because of exams,Moderate,1,85.3,5.4,6.1,2,6,2.1,9
I feel like everything depends on this exam and I might fail,High,2,101.1,5.3,9.6,14,0,1.2,5
I sometimes procrastinate due to exam pressure and worry,Moderate,1,83.6,6.2,6.9,5,2,1.9,14
I cry frequently because of the unbearable exam pressure,High,2,98.5,3.6,7.7,10,0,1.7,7
I cannot stop worrying about failing the exam at all,High,2,87.4,5.9,7.7,6,1,1.3,7
I feel tense when thinking about results but manage to study,Moderate,1,92.8,6.5,7.1,4,4,1.3,23
I have been feeling restless lately because of exams,Moderate,1,83.1,6.4,5.8,2,4,2.1,13
I cannot stop worrying about failing the exam at all,High,2,105.9,4.8,7.5,7,2,1.1,6
Exams do not bother me much this time,Low,0,73.2,8.3,4.9,1,6,2.6,43
I feel extremely stressed and cannot focus on anything,High,2,96.1,4.9,8.6,11,2,0.6,0
I manage my time well and feel in control,Low,0,68.8,7.2,4.4,1,9,2.3,37
Exams do not bother me much this time,Low,0,75.4,7.3,5.3,1,6,2.5,23
Exams do not bother me much this time,Low,0,74.4,7.7,6.0,0,6,2.3,21
My appetite has slightly reduced during exam preparation,Moderate,1,79.2,7.1,6.5,4,6,1.3,21
I sometimes procrastinate due to exam pressure and worry,Moderate,1,88.7,5.7,5.3,4,3,1.5,9
I feel stressed but try to manage it with breaks,Moderate,1,80.8,6.1,5.2,4,6,1.9,15
I manage my time well and feel in control,Low,0,71.7,6.9,4.3,1,5,2.5,41
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,82.2,6.5,5.1,3,5,2.2,16
I get anxious during revision but calm down after some time,Moderate,1,79.1,6.7,6.7,3,4,1.7,14
I am constantly trembling and cannot eat or sleep properly,High,2,103.6,4.7,6.7,5,1,1.1,5
I get anxious during revision but calm down after some time,Moderate,1,84.3,5.7,7.8,4,6,1.5,17
The thought of the exam fills me with dread and terror,High,2,92.0,3.4,9.5,6,0,1.2,8
I sometimes procrastinate due to exam pressure and worry,Moderate,1,81.4,4.6,7.6,5,3,1.4,9
I worry a bit about failing but I keep studying,Moderate,1,70.5,5.6,7.0,3,3,1.5,11
No major worries just some normal exam jitters,Low,0,72.2,7.1,5.5,0,10,2.3,24
I feel a little nervous but it motivates me positively,Low,0,69.0,7.7,4.0,1,6,2.6,46
I feel good about my chances in the exam,Low,0,74.5,7.4,5.6,0,5,3.0,37
I feel quite relaxed about my upcoming exams,Low,0,75.3,8.1,5.2,1,7,2.1,32
My heart races and I feel nauseous when exam date approaches,High,2,100.0,3.8,10.1,8,0,1.0,6
My appetite has slightly reduced during exam preparation,Moderate,1,87.2,5.8,8.2,3,4,1.9,6
I feel tense when thinking about results but manage to study,Moderate,1,85.7,4.7,5.8,4,3,1.7,25
I feel stressed but try to manage it with breaks,Moderate,1,75.3,5.0,6.4,5,3,2.1,9
I manage my time well and feel in control,Low,0,75.6,7.7,4.6,1,8,2.8,46
I feel tense when thinking about results but manage to study,Moderate,1,94.4,6.0,6.3,3,2,1.3,12
I feel a little nervous but it motivates me positively,Low,0,76.6,8.5,3.6,2,9,2.7,41
I feel extremely stressed and cannot focus on anything,High,2,104.0,5.9,6.5,8,2,0.7,3
I am somewhat nervous and find it hard to concentrate sometimes,Moderate,1,97.5,6.5,7.0,3,5,1.7,21
Exams do not bother me much this time,Low,0,74.6,8.3,4.9,1,8,2.6,28
I feel extremely stressed and cannot focus on anything,High,2,101.1,5.8,6.9,5,0,1.2,2
My preparation is going smoothly without much stress,Low,0,72.9,7.4,5.0,0,5,2.6,36
I feel extremely stressed and cannot focus on anything,High,2,95.5,4.7,8.6,5,0,1.6,2
My mind goes completely blank whenever I try to study,High,2,79.4,4.2,11.5,10,2,1.3,3
I have been studying consistently and feel confident,Low,0,75.5,7.7,5.9,2,6,2.7,36
I enjoy studying and feel ready for assessments,Low,0,73.0,7.2,5.1,1,6,2.4,47
I feel quite relaxed about my upcoming exams,Low,0,68.2,6.6,3.4,2,8,2.5,20
I have been studying consistently and feel confident,Low,0,72.6,7.3,5.1,2,8,2.7,20
The thought of the exam fills me with dread and terror,High,2,95.6,4.1,9.3,7,1,1.5,7
I am confident in my preparation and feel steady,Low,0,74.7,7.1,5.0,1,5,2.5,45
I have not been able to sleep for days because of exam fear,High,2,93.1,2.9,8.4,8,1,1.1,8
I am somewhat nervous and find it hard to concentrate sometimes,Moderate,1,82.8,5.4,6.8,5,4,1.6,13
I sometimes procrastinate due to exam pressure and worry,Moderate,1,75.9,5.4,7.6,3,2,1.5,5
I feel extremely stressed and cannot focus on anything,High,2,86.9,5.2,8.9,13,2,1.2,0
I am somewhat nervous and find it hard to concentrate sometimes,Moderate,1,77.2,5.0,6.4,4,3,2.1,23
I sleep well and feel mentally prepared,Low,0,74.7,7.9,4.4,1,8,1.7,38
I feel like everything depends on this exam and I might fail,High,2,106.4,3.6,8.5,7,0,1.2,9
Exams do not bother me much this time,Low,0,72.1,7.5,5.2,1,7,2.5,40
I feel a little nervous but it motivates me positively,Low,0,72.3,8.7,4.8,2,8,2.6,29
I get anxious during revision but calm down after some time,Moderate,1,84.6,5.6,4.6,2,2,1.8,15
I am calm and focused during my study sessions,Low,0,75.2,8.0,5.6,0,9,2.0,21
The thought of the exam fills me with dread and terror,High,2,87.5,2.5,9.3,10,2,1.4,4
I feel a little nervous but it motivates me positively,Low,0,66.4,8.4,5.9,0,6,2.9,46
My mind goes completely blank whenever I try to study,High,2,91.1,4.9,6.7,14,2,0.8,6
I enjoy studying and feel ready for assessments,Low,0,66.6,7.8,5.6,2,10,2.4,54
My appetite has slightly reduced during exam preparation,Moderate,1,83.5,6.1,6.4,5,3,1.7,19
The thought of the exam fills me with dread and terror,High,2,87.2,3.3,7.9,13,0,1.6,10
